sentence,category
More crispies please .,FRA
Shoe off .,FRA
Here you are Mum .,FRA
No fit in da box .,FRA
Ham cheese .,FRA
You hungry ?,FRA
Big bites .,FRA
No fit in .,FRA
Right foot .,FRA
No Thomas it .,FRA
What have you been Mummy ?,FRA
A Dimitra playing .,FRA
Train driver on a platform .,FRA
A le from .,FRA
Grandad cross .,FRA
A door 's open .,FRA
Le shoes off .,FRA
People poorly ?,FRA
Bicycle a cupboard .,FRA
No playing .,FRA
It 's a car wash taxi .,FRA
Piece of ham .,FRA
Pepi earlier on .,FRA
Yes ham .,FRA
One thin .,FRA
Wrong foot .,FRA
A a big tunnel .,FRA
This foot .,FRA
The other foot .,FRA
The driver on platform .,FRA
Na big tunnel .,FRA
Other foot .,FRA
No shaking .,FRA
Like ham .,FRA
Thomas like ham .,FRA
Twelve o'clock .,FRA
Na station .,FRA
Hot and sweaty .,FRA
The light work .,FRA
No police car .,FRA
Another police car .,FRA
Toys up .,FRA
Elephant there .,FRA
No people on it .,FRA
Messy in here .,FRA
No monkey ?,FRA
Hello Ginger .,FRA
A station .,FRA
Daddy Mummy Nana .,FRA
Bee bah too fast .,FRA
No late .,FRA
Back a car .,FRA
Thomas trucks .,FRA
Fire engine red blue too .,FRA
Percy trucks too .,FRA
Pippo monkey .,FRA
Yes a ticket .,FRA
No diggers .,FRA
To Manchester .,FRA
Bye a tummy .,FRA
A white dumper truck .,FRA
Bus station .,FRA
It 's orange dumper truck .,FRA
Sorry glass .,FRA
No sat one .,FRA
Out please .,FRA
Bus station now .,FRA
Bus stopping .,FRA
There you are treasure .,FRA
No Daddy Rod .,FRA
No apples .,FRA
Crisps please .,FRA
Ding ding .,FRA
No be careful .,FRA
It 's a snake .,FRA
I am .,FRA
Yes we can .,FRA
Round round .,FRA
Not the postman .,FRA
What 's the problem ?,FRA
Uh yeah .,FRA
A hurt .,FRA
Could I ?,FRA
Whoo whoo .,FRA
And the what ?,FRA
All the time .,FRA
Yeah please .,FRA
Big pig .,FRA
Do I ?,FRA
In the .,FRA
The wheels .,FRA
Number three ?,FRA
There 's one there .,FRA
No ca n't .,FRA
Ah now then .,FRA
That that that .,FRA
And a .,FRA
Scoop Muck and Dizzy and Rolly too .,FRA
One please .,FRA
What in .,FRA
I just .,FRA
Oh no thanks .,FRA
Like Thomas ?,FRA
It 's open .,FRA
Oh okay .,FRA
All day .,FRA
Not me .,FRA
Oh is it ?,FRA
Are there ?,FRA
Dustbin men .,FRA
Some lemonade .,FRA
Oh steady darling .,FRA
Might be .,FRA
Course you can .,FRA
What for ?,FRA
In the back .,FRA
My favorite .,FRA
A real one .,FRA
Is one .,FRA
A till .,FRA
The lorry .,FRA
Oy you .,FRA
It has n't .,FRA
You 're cold ?,FRA
Mummy does n't .,FRA
How lovely .,FRA
But I ca n't .,FRA
Not lots .,FRA
What 's in it ?,FRA
A motorbike .,FRA
Am I ?,FRA
Little snake ?,FRA
It 's up there .,FRA
Where 's the key ?,FRA
The little girl .,FRA
Oo oo .,FRA
Did I ?,FRA
De de de .,FRA
Forty one Streetname Drive .,FRA
Forty one Streetname .,FRA
I wo n't .,FRA
I 'm not a silly woman .,FRA
It 's more like a .,FRA
Where my toys .,FRA
Mummy is .,FRA
Nowhere .,FRA
It 's very important .,FRA
Um just there .,FRA
That 's superb .,FRA
Um this .,FRA
Your fire .,FRA
I being a big crocodile under here .,FRA
You 're being a big crocodile under there are you ?,FRA
This is a nice little pig is n't it ?,FRA
Oh is it a big pig ?,FRA
Well she 's your friend as well is n't she ?,FRA
Now what 's under there ?,FRA
What 's under the table ?,FRA
Oh it 's not a big crocodile is it ?,FRA
That 's a very deep voice .,FRA
Some orange or some spicy juice ?,FRA
Just orange please .,FRA
What 's under there ?,FRA
But it is big is n't it ?,FRA
What what 's under there ?,FRA
Big large snake !,FRA
A big large snake ?,FRA
Well big and large are the same thing .,FRA
The orange juice is actually very nice Thomas .,FRA
Oh it 's fresh orange .,FRA
That 's more like chicken like that like that friend chicken .,FRA
It 's more like your friend chicken ?,FRA
In the rock a tot ?,FRA
This was a long time ago Thomas .,FRA
I a baby rock in that rock a tot .,FRA
Rock a tots are car seats are n't they ?,FRA
Daddy and Thomas .,FRA
Thomas was n't there .,FRA
Daddy was there some of the time .,FRA
No no Cornflakes no no milk .,FRA
Cornflakes no milk .,FRA
Hm yes please .,FRA
They 're Cornflakes Thomas Lastname .,FRA
They 're straight from the packet .,FRA
Bout poo in the nappie ?,FRA
She was sick .,FRA
Oh cheep .,FRA
The big house there ?,FRA
The big house ?,FRA
What the house next to us ?,FRA
Gambit was the young dog .,FRA
A little puppy .,FRA
Um sister .,FRA
Well it might have been a sister or a brother .,FRA
A boy or a girl ?,FRA
Um Sooty bag .,FRA
Sooty bag ?,FRA
Well Sooty 's the name of Jo 's dog .,FRA
More like Becky 's Sooty .,FRA
Oh that 's quite exciting .,FRA
The parcel man .,FRA
Oh is it not a postman ?,FRA
It was the parcel man was it ?,FRA
It 's a present from us and the Max Planck .,FRA
Sooty is Jo and Becky 's ja uh dog .,FRA
Tony a call man .,FRA
What 's our .,FRA
More like .,FRA
Tony Jo 's husband and Becky 's daddy that 's his name Tony .,FRA
Hello Becky .,FRA
Hello Sooty .,FRA
What in it ?,FRA
Cornflakes nice ?,FRA
You sure you 're not cold without your dressing gown on ?,FRA
The shop and in the shop .,FRA
It 's a just one box .,FRA
Just one box .,FRA
Um Mummy you silly woman .,FRA
You lucky lucky boy .,FRA
Are these your pennys ?,FRA
Oh this is like your birthday all over again is n't it ?,FRA
Yes I 'll just .,FRA
Some smoke .,FRA
It is quite like that is n't it ?,FRA
What box ?,FRA
To the ladys .,FRA
It 's some letters .,FRA
And Jeannine .,FRA
How about a kiss ?,FRA
On the paper please .,FRA
It 's train .,FRA
What a terrible waste of paper .,FRA
Oh that 's a lovely snake is n't it ?,FRA
Have n't a clue .,FRA
We 've enough pieces of paper in magazines do n't we ?,FRA
Well Milo is one of the Tweenies .,FRA
This is n't for you .,FRA
All sorts of things here .,FRA
Ah ha that 's it .,FRA
Oh teddy there with a bandage on his paw .,FRA
Another teddy with a bandage on her paw .,FRA
Oh and little bear there with a bandage on his foot .,FRA
Big hug bear .,FRA
One of the most important things is .,FRA
There two snakes .,FRA
That 's a beautiful drawing Thomas .,FRA
Is that piece of paper there .,FRA
Because that 's the instructions .,FRA
Very clever are n't you ?,FRA
Is the orange juice now ?,FRA
Just be careful darling .,FRA
Thomas no no no .,FRA
It 's brand new .,FRA
Why was there a problem with your tummy ?,FRA
Your hold this Bob Bob Bob a Build .,FRA
Um um a big large crocodile .,FRA
Dad dad dad dad dad .,FRA
Um customer .,FRA
Um a shop lady .,FRA
Where 's my hammer ?,FRA
Choo on on down a bridge .,FRA
Choo down a bridge .,FRA
Like a choo choo train .,FRA
Up a rocket and down like a rain .,FRA
Down like a .,FRA
That 's a round .,FRA
Um it 's .,FRA
There 's one at the top .,FRA
Lemonade lemonade .,FRA
I a treat now .,FRA
Down like a rain .,FRA
And rain like lie and like a choo choo train arout .,FRA
Police hat ?,FRA
The dustbin man can what that noise ?,FRA
Oh bout crisps .,FRA
Your where your hold that .,FRA
You my friend .,FRA
No you my sweetheart .,FRA
No not sweets .,FRA
Just little snakes and big crocodiles and some some chocolate mice and pink pigs .,FRA
I my your nana darling .,FRA
Choo train .,FRA
This creche .,FRA
What is that on there ?,FRA
You a you be a front Julian be a back .,FRA
Your ticket ?,FRA
This ticket .,FRA
Um um just lemonade .,FRA
Fruit and .,FRA
In his bed .,FRA
Where 's the dustbin ?,FRA
That 's a funny one .,FRA
Blackcurrant juice and drinks .,FRA
And a big slug .,FRA
All your say is a crocodile .,FRA
Dustbin lorry 's here .,FRA
For your teas .,FRA
The sand all over sand .,FRA
This a tea napkin .,FRA
All your saying is a crocodile .,FRA
Yeah am .,FRA
Um no it 's just just yours .,FRA
There 's one on the paper .,FRA
Then yellow hose .,FRA
Where 's the where 's the key ?,FRA
So dear Dora .,FRA
Bout cuckoo ?,FRA
Mother in in Boots in that shop .,FRA
The Builder .,FRA
You all wet .,FRA
Bob the Builder .,FRA
A some traffic cones .,FRA
Mummy ambulance in here .,FRA
Little prize .,FRA
A Sonia and Isabelle .,FRA
This is Charlotte 's hair .,FRA
Poor Charlotte .,FRA
More polos .,FRA
Because in bed tummy bug .,FRA
In that green shop .,FRA
Um two coins .,FRA
All your saying little croc .,FRA
In the grass .,FRA
All your saying i the park .,FRA
Mitra at my party .,FRA
Um just .,FRA
That forty one .,FRA
Mima and A Becca .,FRA
And some little small chocolate .,FRA
Oh oh all down !,FRA
What meal ?,FRA
No you wet .,FRA
Fifty p .,FRA
Where 's the jungle ?,FRA
Uh uh loads of .,FRA
Too much toothpaste .,FRA
Big fireworks bang .,FRA
Yeah piece of cake .,FRA
That 's my drink .,FRA
It 's quiet .,FRA
That round round thing .,FRA
Purdie drinking bit of water .,FRA
This is I a train now .,FRA
Kip the bell whoowhoo .,FRA
There your peas .,FRA
The siren .,FRA
I my Tweenies tape .,FRA
Um Sue .,FRA
That 's more like your your fruit bowl .,FRA
Ah Monday .,FRA
About sausage ?,FRA
There one something there .,FRA
There forty one .,FRA
Banana apple .,FRA
Oh here for .,FRA
That grape .,FRA
You aday .,FRA
That 's twenty four .,FRA
Banana yellow .,FRA
That 's mean banana .,FRA
Lights are on .,FRA
Um just two pee .,FRA
And off again .,FRA
Egg peas .,FRA
And and her Mummy and Daddy .,FRA
On the top .,FRA
Um four .,FRA
What sort of cereal ?,FRA
That 's not fair is it ?,FRA
Were you thirsty ?,FRA
Is that enough ?,FRA
The rabbit .,FRA
All of them .,FRA
Bumpity bumpity bump .,FRA
That that one .,FRA
Orange marmalade .,FRA
Orange jam .,FRA
No that .,FRA
One of those .,FRA
Oh gosh .,FRA
A ticket ?,FRA
It 's not really .,FRA
Every single day .,FRA
Should be .,FRA
The thing is .,FRA
I 'm on .,FRA
Your house .,FRA
What is in that box ?,FRA
The box that the .,FRA
Hello big box man .,FRA
Is it a big lorry ?,FRA
Not a bike .,FRA
Not a bicycle ?,FRA
No not a train set .,FRA
What is in the box ?,FRA
Numbers no ?,FRA
Is Purdie in the box ?,FRA
Something heavy .,FRA
Lots a box .,FRA
It 's not your bicycle is it ?,FRA
Oh it 's not Daddy is it ?,FRA
Is that being silly ?,FRA
It 's not full of sweets is it ?,FRA
Bottles of juice ?,FRA
Something round shapes .,FRA
Like this box .,FRA
Something with round shapes ?,FRA
Like this big circle like that .,FRA
Da na !,FRA
It 's the lid of the book box .,FRA
That 's not a circle Thomas .,FRA
That 's a rectangle .,FRA
Is a circle .,FRA
It was quite a while ago now .,FRA
Uh not on my knee .,FRA
And this is in there .,FRA
That 's a little bit too big for the box is n't it ?,FRA
Daddy 's printer for his computer .,FRA
A what 's in this box ?,FRA
A area ?,FRA
It 's an airer .,FRA
Is it a bicycle ?,FRA
Something very large two .,FRA
Two very large things ?,FRA
Um an elephant and a lion ?,FRA
Larger than an elephant ?,FRA
It is the lid of the box !,FRA
The clothes airer .,FRA
That is what .,FRA
Well there 's nobody here but us .,FRA
In fact in this .,FRA
What that one about ?,FRA
Oh that 's the wheels on the bus .,FRA
Most of the books in this box .,FRA
Broombroom broombroom .,FRA
That 's a nuisance .,FRA
Now this is the wheels on the bus book .,FRA
Round round and round .,FRA
It 's a yellow taxi by the looks of it .,FRA
That bicycle .,FRA
That 's quite funny you should .,FRA
Oh no a door .,FRA
About yellow taxis had n't we ?,FRA
Yellow taxi .,FRA
Three yellow taxis all in one day .,FRA
Right the next .,FRA
A guitar Mummy .,FRA
A guitar .,FRA
Oh yes sorry .,FRA
Quick there .,FRA
Oh poor lady .,FRA
Then brum here is one .,FRA
Everybody 's on the last minute today are n't they ?,FRA
Number three it is .,FRA
Oh good here 's my bus .,FRA
No not me .,FRA
Because I 'm a driver .,FRA
There money .,FRA
Okay okay okay .,FRA
All this shopping .,FRA
Ticket machine is n't she ?,FRA
All aboard .,FRA
No that 's the windows on that side Thomas .,FRA
Not the wipers .,FRA
This is the problem .,FRA
It 's sunny day now .,FRA
Is it a sunny day ?,FRA
It could now .,FRA
It could it could still be sunny and rainy at the same time could n't it ?,FRA
How about a rainbow ?,FRA
Bumipty bumpity bump .,FRA
Some kittens !,FRA
Wah wah wah wah wah wah .,FRA
Oh that 's a surprise is n't it ?,FRA
Who 's me ?,FRA
I Tom bus driver .,FRA
Thomas the bus driver ?,FRA
When tomorrow it 's my birthday and that 's a present for me .,FRA
It is n't your birthday tomorrow .,FRA
Your birthday 's on .,FRA
Three pennys ?,FRA
One penny two pennys three pennys .,FRA
One penny two pennys three pennys four pennys .,FRA
It 's a lottery ticket is it ?,FRA
Is it a return ticket ?,FRA
It is a return ticket .,FRA
We 're at a sweet shop .,FRA
Mummy what 's the problem ?,FRA
Not my present .,FRA
Just envelope and your and your handbag and your purse .,FRA
It 's my birthday today .,FRA
Just these .,FRA
Those are not sweeties .,FRA
Silly old bus .,FRA
Mummy it 's cement mixer cement mixy .,FRA
My back .,FRA
For the space rocket .,FRA
Mummy hello .,FRA
Hello what 's the problem ?,FRA
Um I 'm a Thomas the bus driver .,FRA
Um here it is .,FRA
I Buzz Lightyear .,FRA
No he is n't .,FRA
He 's real .,FRA
Uh this box is your Smarties over there .,FRA
What a mess these are .,FRA
Not now because because I might be cross ?,FRA
Um some sweeties .,FRA
What rock pule is ?,FRA
Repair van .,FRA
Just some little sweeties .,FRA
On there and then .,FRA
Because that 's open .,FRA
Oh oh okay .,FRA
Thomas a flying .,FRA
It 's not on my pants .,FRA
But they not on my pants .,FRA
About my socks ?,FRA
Anywhere a not .,FRA
The garage man .,FRA
And then boom !,FRA
A stool .,FRA
I just will .,FRA
No you naughty girl .,FRA
Because you was .,FRA
Shorts on and shoes off .,FRA
And one on .,FRA
Um what 's next ?,FRA
Where is the wipers ?,FRA
Banana poo pooey .,FRA
Full up .,FRA
A video .,FRA
Do n't be rude .,FRA
The police !,FRA
You 're very poorly ?,FRA
Not so long ago .,FRA
It is n't a cold day .,FRA
Some bigger trousers on ?,FRA
Because medicine sometimes is n't very nice .,FRA
You 've only just um .,FRA
At least it 's something .,FRA
Nothing please .,FRA
I might be .,FRA
Can you Mum ?,FRA
Are you poorly ?,FRA
It 's when I 'm poorly .,FRA
I 'm really poorly .,FRA
And perhaps after a little rest .,FRA
But at the same time .,FRA
Is that the Tweenies ?,FRA
That 's the Tweenies is n't it ?,FRA
These are fairgrounds .,FRA
Hot air balloon day .,FRA
Your lunch is ready love .,FRA
Are you is she is Jeannine .,FRA
She might be .,FRA
Is that my credit card ?,FRA
Happy with all of that ?,FRA
This is for Samara .,FRA
Uh you can be the passenger .,FRA
But they might not be the same things in it darling .,FRA
What sort of shop are we ?,FRA
A toy shop ?,FRA
This could be like yesterday could n't it ?,FRA
In the bag .,FRA
What could ?,FRA
This there .,FRA
In the back of the shop .,FRA
Once a month .,FRA
It 's iceberg .,FRA
Is that bread nice ?,FRA
It 's not because it is warm .,FRA
This is like a big trolley is n't it ?,FRA
You 're a bit quiet today .,FRA
That could be where the food is .,FRA
Alphabet letters .,FRA
Nice and cool .,FRA
And yours is too .,FRA
That 's a cold one .,FRA
She 's on the cold one .,FRA
What trains ?,FRA
Little trains .,FRA
Ah that 's the band .,FRA
The band .,FRA
Near the bend .,FRA
Your railway track ?,FRA
A poo poo .,FRA
You could be a train too .,FRA
Ooh down on his hair .,FRA
I will be the I 'll be the goods train .,FRA
Although it 's a bit mouldy .,FRA
A bit what ?,FRA
And you be um the uh .,FRA
Luckily she 's not in at the moment .,FRA
You could be the boss train .,FRA
The boss train ?,FRA
Boss train 's black .,FRA
The sunflower .,FRA
And then um the bus trai boss trains .,FRA
Manchester again .,FRA
Because the fresh bread that 's open will be much nicer in a sandwich wo n't it ?,FRA
Uh round the bend round the bend round the bend round the bend .,FRA
Two two pence ?,FRA
Two two pences ?,FRA
Is this open ?,FRA
A bread roll .,FRA
Uh twenty two .,FRA
Because it 's soft .,FRA
It 's a nice soft white bread roll .,FRA
You 'd be like Purdie then would n't you ?,FRA
Which is that silver one .,FRA
And a two pence .,FRA
Why am I very sad ?,FRA
Which is the bronze one .,FRA
And that 's the cooler and this is the iceberg .,FRA
What smoke ?,FRA
I am I am too .,FRA
That 's twenty two pence .,FRA
The smoke from the my toy trains .,FRA
Credit card please .,FRA
From the goods train ?,FRA
Because I 'm the goods train driver .,FRA
Strawberries banana .,FRA
Uh bunny rabbit .,FRA
They 're banana apple and .,FRA
Hundreds and hundreds of fruit .,FRA
Whisky beer ginger beer .,FRA
I am quite deaf .,FRA
This is Tesco 's .,FRA
This is a real house is n't it ?,FRA
I could be a banana .,FRA
I could be an elephant Jeannine .,FRA
For the next delivery .,FRA
Under the trunk .,FRA
So it 'll be ours .,FRA
That pink bit .,FRA
When when I 'm in your way .,FRA
No but the shop 's too busy .,FRA
I 'm a lifts train .,FRA
Um one was really rude .,FRA
Who is the baddy ?,FRA
You can be elephant too .,FRA
Little old house .,FRA
Our house .,FRA
Not a sausage ?,FRA
But those are stickers .,FRA
On this I am nice .,FRA
Salvage train ?,FRA
And the police in that camera .,FRA
A worm .,FRA
Like toys .,FRA
A fireman hosepipe .,FRA
Or a black fire extinguisher .,FRA
Oh Thomas and Douglas .,FRA
Little tiny snakes in the trunch car .,FRA
He is because as is .,FRA
Lovely and crunch .,FRA
This is like the cheese in the world .,FRA
That was on the dinosaur museum trolley .,FRA
So good .,FRA
Purdie and us in car .,FRA
Per la ay uh .,FRA
I 've just been shocked because there that 's there .,FRA
Not bread just cheese .,FRA
Just do n't .,FRA
P r f t .,FRA
Um the builder .,FRA
Which store cupboard ?,FRA
What a lovely picture .,FRA
Um shall I .,FRA
Dere a good girl here .,FRA
I could be a cat .,FRA
I 'm glad I 'm not you .,FRA
This is all the cheese in the world .,FRA
Here 's the cheese farmer .,FRA
I 'm a cat .,FRA
What snack ?,FRA
With carrots in .,FRA
W well it wo n't be ready for a little while yet .,FRA
That 's a jolly squeaky wheel .,FRA
Is it good at motorbikes ?,FRA
Not quite the same as a taxi but nearly .,FRA
It 's from that .,FRA
It 's from the little motorbike .,FRA
It was um that little word .,FRA
It 's a radio carrier .,FRA
Or onto the bike ?,FRA
It 's not on .,FRA
Not on that bike .,FRA
Which bike ?,FRA
This is a motorbike .,FRA
Yeah but from the car set .,FRA
Not from this set ?,FRA
That my favorite toy actually .,FRA
That was one of Andrew 's when he was little .,FRA
Not a rider .,FRA
Yeah he 's a rider is n't he ?,FRA
For that one .,FRA
It 's the squeak men .,FRA
When this the truck um the builder 's truck 's digging .,FRA
Diggy dig .,FRA
That digger 's nice as well is n't it ?,FRA
Well there must be Thomas .,FRA
What if .,FRA
Not a beak van .,FRA
This is not a beak van .,FRA
A sweet van .,FRA
And it should be a squeak van .,FRA
Uh oops .,FRA
They 're hula hoops .,FRA
Oh now dear dear .,FRA
I 'm ready for it actually .,FRA
Thomas the toys are all over the floor .,FRA
It 's a bonfire site .,FRA
What 's a bonfire site ?,FRA
A bomb site .,FRA
It better not be .,FRA
Simple as that .,FRA
On right .,FRA
Is that a nice sandwich ?,FRA
She be before be never hungry .,FRA
Is that a place ?,FRA
Because it 's sunny outside .,FRA
Near the queen ?,FRA
I 'm not sure whether that 's a good thing or a bad thing .,FRA
Does yours ?,FRA
It will now .,FRA
It 's not really a jumper is it that ?,FRA
Your top .,FRA
And the the bread 's very crusty .,FRA
Only this one .,FRA
Mummy 's poo .,FRA
The bread 's fresh it 's just very crusty .,FRA
T it is but eh .,FRA
This is new .,FRA
It might not have been .,FRA
It will be Sylvia 's .,FRA
You 're lovely lovely Jeannies .,FRA
Yes yes yes yes yes .,FRA
The washing on the line behind is .,FRA
That one 's a special one .,FRA
Hers is blue .,FRA
C Beebie .,FRA
It 's in the breeze .,FRA
This is scary .,FRA
A lid for this .,FRA
No standing around .,FRA
Who 's Sanjid ?,FRA
Arrest Jean .,FRA
Ear moes ?,FRA
She 's very bad .,FRA
They 're ear .,FRA
Well they 're like ear muffs are n't they ?,FRA
Why am I .,FRA
Well probably .,FRA
To bottom .,FRA
Through the microphone ?,FRA
She was not .,FRA
Okay Tom .,FRA
Your rude phases last months Thomas not just a few days .,FRA
A buzz ?,FRA
Even at my party .,FRA
It 'll be ruder .,FRA
They 're not vitamins .,FRA
Mummy knickers .,FRA
No do n't be rude Thomas .,FRA
Um no way .,FRA
But it 's not really seriously naughty .,FRA
They 're a bit dry without milk Thomas .,FRA
Are they not a little bit dry without milk ?,FRA
Um Mummy is lovely .,FRA
It 's still in the machine .,FRA
And the bathroom .,FRA
Mummy is lovely !,FRA
Those spoons that are much larger than a teaspoon but smaller than a dessert spoon .,FRA
They 're ideal for cereal are n't they ?,FRA
Did not .,FRA
Ryvita for me .,FRA
Ryvita for me please .,FRA
The birds on my new video .,FRA
It 's a very short one .,FRA
Mum my crisps .,FRA
He will be like this .,FRA
Oh my pants !,FRA
This floor bouncy .,FRA
Boobie willie .,FRA
A big growling puss is here .,FRA
That 's not even crunchy .,FRA
On the cover .,FRA
Down the back of this chair .,FRA
Which one is ?,FRA
Um them .,FRA
Orange lights on the machine .,FRA
Hula um .,FRA
Some some of those round um cereal .,FRA
That 's too rough for me .,FRA
Far far in the distance ?,FRA
The rattly train ?,FRA
Little cartons .,FRA
I am a clown .,FRA
Poo a hula hoop .,FRA
A gas pot ?,FRA
I am a gas pot .,FRA
For sale .,FRA
I 'm a little hula boop yeah .,FRA
You can c .,FRA
On a taxi .,FRA
On that blue t+shirt .,FRA
It 's near one of my fire engine doors .,FRA
Your bottom ?,FRA
The policeman 's uniform .,FRA
And very rude .,FRA
A seaside trip .,FRA
And rude .,FRA
Cheers big piers ?,FRA
Whee whee I 'm off my bird .,FRA
Ay yum yum .,FRA
It 's a good program .,FRA
Oh that 's cool .,FRA
Purdie 's poo .,FRA
That 's why I 'm giggly .,FRA
Sorry sorry sorry .,FRA
A bottom of lies ?,FRA
He over .,FRA
Fussy lady .,FRA
One that .,FRA
Horse ?,FRA
Who is that ?,FRA
Yep .,FRA
What 's this ?,FRA
Yeah .,FRA
No ?,FRA
What is that ?,FRA
Who 's that ?,FRA
Daddy .,FRA
Dog ?,FRA
There .,FRA
Two !,FRA
Okay .,FRA
What ?,FRA
What is it ?,FRA
Where ?,FRA
Oh yeah .,FRA
My .,FRA
Humpty Dumpty .,FRA
Shoe .,FRA
Paper .,FRA
Pencil ?,FRA
Kitty .,FRA
Please .,FRA
Hat .,FRA
Alright .,FRA
Mommy .,FRA
Tape recorder .,FRA
Oh .,FRA
Boy !,FRA
Bear .,FRA
Man .,FRA
Baby .,FRA
Pretty .,FRA
What 's that ?,FRA
Here .,FRA
Hi .,FRA
Lion ?,FRA
Too .,FRA
Who ?,FRA
Briefcase .,FRA
Where 's the other one ?,FRA
Careful .,FRA
Now .,FRA
Tomato .,FRA
Fire .,FRA
Where is it ?,FRA
Busy .,FRA
That 's a tape recorder .,FRA
Water !,FRA
Mhm .,FRA
Book .,FRA
More ?,FRA
Yes .,FRA
Hot .,FRA
Huh ?,FRA
Other one .,FRA
Byebye .,FRA
Tiger .,FRA
I .,FRA
One Mommy .,FRA
Again .,FRA
Top .,FRA
Cold .,FRA
Somebody .,FRA
Hm ?,FRA
How many ?,FRA
Bird ?,FRA
That man .,FRA
My pencil .,FRA
Mouth ?,FRA
Fish .,FRA
Be careful .,FRA
That 's right .,FRA
Chair .,FRA
Coffee .,FRA
Milk .,FRA
Horsie .,FRA
Door ?,FRA
Peas .,FRA
Down .,FRA
Another one .,FRA
Ball .,FRA
Radio .,FRA
You 're welcome .,FRA
Off ?,FRA
Head .,FRA
Cat .,FRA
Outside .,FRA
Right there .,FRA
For you .,FRA
Why ?,FRA
Cromer .,FRA
Choo choo ?,FRA
Floor ?,FRA
You .,FRA
Cup .,FRA
No more ?,FRA
D .,FRA
Which one ?,FRA
Where top ?,FRA
Bye .,FRA
Cookie .,FRA
Cracker .,FRA
Tomato soup .,FRA
Right .,FRA
Girl .,FRA
When ?,FRA
Light ?,FRA
One two three .,FRA
Table .,FRA
One .,FRA
Sure .,FRA
No what ?,FRA
More juice .,FRA
Juice .,FRA
Uhhuh .,FRA
There it is .,FRA
Up in the air .,FRA
Oh what 's that ?,FRA
Bag ?,FRA
Crayon .,FRA
Fox .,FRA
Swimming .,FRA
Me .,FRA
Hunm .,FRA
One two three four .,FRA
Dirty .,FRA
Good .,FRA
What 's in there ?,FRA
Tummy .,FRA
Did he ?,FRA
You are ?,FRA
Cromer pencil .,FRA
Right here .,FRA
Blue .,FRA
Be quiet .,FRA
It is .,FRA
Finger .,FRA
A b c .,FRA
Little .,FRA
Welcome .,FRA
More what ?,FRA
E .,FRA
Your what ?,FRA
A pencil .,FRA
Sugar .,FRA
Oh good .,FRA
G ?,FRA
What 's what ?,FRA
I ca n't .,FRA
That .,FRA
Another what ?,FRA
Mama .,FRA
I can .,FRA
Under .,FRA
Right down here ?,FRA
Eye .,FRA
What man ?,FRA
A dog .,FRA
That 's very good .,FRA
Your hat ?,FRA
New one .,FRA
B .,FRA
It 's good .,FRA
They are .,FRA
Some more .,FRA
Like that .,FRA
Where are you ?,FRA
Other ?,FRA
Turtle .,FRA
Just one .,FRA
What color is that one ?,FRA
That 's it .,FRA
Nope .,FRA
Stuck .,FRA
What this ?,FRA
A .,FRA
Well .,FRA
A fly .,FRA
C .,FRA
Firetruck .,FRA
A shoe ?,FRA
Letter .,FRA
F .,FRA
It 's not .,FRA
A lady .,FRA
Bottle .,FRA
Moo .,FRA
H .,FRA
Banjo .,FRA
I .,FRA
Yep we are .,FRA
A pumpkin ?,FRA
Because what ?,FRA
It 's on the wall .,FRA
Telephone .,FRA
Oh that 's nice .,FRA
I 'm not .,FRA
On the other side .,FRA
That 's the top .,FRA
No that .,FRA
What that ?,FRA
Window .,FRA
Just a minute .,FRA
Quack .,FRA
That 's pretty good .,FRA
Bull .,FRA
Downstairs ?,FRA
Because I ca n't .,FRA
Just a little one .,FRA
Nobody .,FRA
A red one .,FRA
No it 's not .,FRA
Me too .,FRA
Where 's your cup ?,FRA
What light ?,FRA
T .,FRA
Happy .,FRA
Be very careful .,FRA
Yes dear .,FRA
Not quite ?,FRA
Little tiny one .,FRA
Woods .,FRA
Cheese .,FRA
Oop .,FRA
I 'll be right back .,FRA
Lunch .,FRA
Soup .,FRA
Oh alright .,FRA
Now what ?,FRA
Well alright .,FRA
More cookie .,FRA
You more cookies ?,FRA
Fraser .,FRA
I 'm not sure .,FRA
Mr Fraser ?,FRA
Yes that 's much better .,FRA
Yes a fly .,FRA
Mommy telephone .,FRA
My telephone .,FRA
There Fraser .,FRA
Oh it 's a baby .,FRA
I 'm busy .,FRA
A stool .,FRA
Yes that 's the stool .,FRA
Mr Fraser yes Mr Fraser .,FRA
Your cookie 's there on the table .,FRA
Little one yes .,FRA
No no more Eve .,FRA
Where 's the rest of your juice ?,FRA
That 's Mr Fraser .,FRA
Fraser water .,FRA
Oh Fraser .,FRA
Mr Fraser 's drinking coffee .,FRA
That 's Mr Fraser 's coffee .,FRA
Down down .,FRA
No more cookies Eve .,FRA
Racketyboom .,FRA
Fraser hat .,FRA
Oh Fraser hat .,FRA
Oh Mr Fraser 's hat .,FRA
He would .,FRA
What 's wrong with your eye ?,FRA
Soldier .,FRA
Soldiers .,FRA
Two soldiers .,FRA
That 's Jack and Jill .,FRA
Who is that man ?,FRA
Eve .,FRA
You 're Eve .,FRA
What 's that man 's name ?,FRA
Oh down .,FRA
Man a pencil .,FRA
Okay man a pencil .,FRA
No that 's Eve 's pencil .,FRA
That 's your pencil .,FRA
Eve pencil ?,FRA
Clip clop .,FRA
Yes shoe .,FRA
Mommy book .,FRA
Mommy 's book ?,FRA
